order_id,order_type,pick_up_zone,drop_off_zone,order_received_timestamp,order_status,cancellation_type,initial_eta,upfront_eta,acceptance_time,delay_dispatch_time,captain_assignment_time,wait_time_at_merchant,food_preparation_time,time_to_customer,wait_time_in_journey,wait_time_at_customer,captain_engagement_time,delivery_time,cancellation_time,pickup_longitude,pickup_latitude,distance_travelled_km,captain_id,booking_id,route_id,day,is_pooled
f3e7df76bad18c02f5a16857a8c9884b5d38f8cda4157cfd4c172e899f4992ca,food,Amman - Amman - Marj Hamam,Amman - Amman - Marj Hamam,2024-01-31 14:32:05.000,delivered,,33,29,0.17,0.03,0.33,13.95,16.28,5.53,3,1.98,23.43,24.03,,35.858,31.889,2.0795912742614746,78fcad1c67b120893c027254bbbc18828b315f1e1c49be57431308ef826e85ca,d58e7d1a0b0eadf45e053e01f53d59eae450f14b558c6c5321ee104f4f26a750,b93458dc3337962987465da3eb3f66fd2182c4fdfcb3859cf527501f792de9a5,2024-01-31,False
a8867fa96a5066b47da135b89bce38fa56d4dd3cbf65d81162ae529251d01df3,food,Amman - Amman - Abdoun,Amman - Amman - Abdoun,2024-01-31 15:15:19.000,delivered,,31,24,0.02,0.02,7.9,10.28,18.87,4.6,4,2.8,18.35,26.35,,35.892,31.949,1.6187604665756226,0e5c2539bdb20cfd096d4c3f880de03908066ff7de9510044ba4af9117a0c91b,a044e5cd0f1f6f8df5ee8eff941a2c42b0bb3d5058e6cf3e4c5e9e712f28b6d7,a6510dbd6dc12e694dce99554cedd655a9b14e206e216b31087baffd93eb9fe5,2024-01-31,False
95c2224cc005bb80b92feba0b4ecd9ac764e164c463188db9dbba8d394ceddcc,food,Amman - Amman - Dahiat Al Amir Rasheed,Amman - Amman - Dahiat Al Amir Rasheed,2024-01-31 11:31:36.000,delivered,,23,24,0.0,0.02,0.38,6.85,7.52,4.02,1,0.07,11.2,11.62,,35.854,31.974,1.5556482076644895,d28f882a129a674f701ffbc1585f28443fc8241a3ae592875f50098bcbdd934d,394d9b62395ab01a727e4539c159f9b17efb3556b0da9d0e2de0890b27f45f6f,48993d81fcf7a0e0e358a0ee147aabc91c1a886fe4916712890621b43e504d6c,2024-01-31,False
191f84fe001ffad1d4c08210876877b6110f67980b73c9ab6236a82511787e06,food,Amman - Amman - Khalda,Amman - Amman - Um Qaseer,2024-01-31 02:23:31.000,delivered,,46,49,0.13,0.02,1.33,11.45,20.85,25.87,2,0.87,46.23,47.8,,35.836,31.997,19.845090866088867,e287c1da03f3b6f15397e100e475fc1bf884b3d8d382c747c680850cb5da8a7b,0522c4159eafd06452ecae613460f5c20d1d0c60ee59f2899a1bd915b2fe2ac8,c21ff153b585e1c9785c1f0d488637091888d4dc43ec9a0e4d60de9f25289465,2024-01-31,False
b3b621e33941f5a748ee176f748aca19b07eff6b45a202deaf81af4135f0d03d,food,Amman - Amman - Dahiat Al Rasheed,Amman - Amman - Dahiat Al Rasheed,2024-01-31 09:01:10.000,delivered,,19,15,0.2,0.0,0.45,2.2,5.05,6.82,3,0.78,12.2,12.85,,35.883,32.013,2.3586699962615967,21b58112ef02f0721ee369f8921598187d54835115e05ade647dc99734bef8a3,0cbd9441d2edfe1f1be3c1dc595df698dd09e55d4fb1400cf231c3be456beac3,1498c33dc950295d235de6551e36a3899cb4bf8422387e44f14173d0a7ae1f86,2024-01-31,False
e0c70879a9631a1f6b8bdea0d6e135f3a8db6b68c1bb2b284444ef66c90f788e,food,Amman - Galleria Mall KML,Amman - Amman - Al Tabasheer,2024-01-31 16:35:28.000,delivered,,46,51,4.62,0.02,0.97,21.4,29.28,10.45,5,0.03,38.78,44.38,,35.861,31.959,2.412961721420288,71d0e379d1a6cf3383294ccdf8a3e1b96ab0f7a1d0be8726ab46aab47aab3419,e6b7f0d04ad78a92fb8ed0479c7a1fcf56e1724fe11c95d47499885c838efeab,10b694dc59a9115359f6f78422b40552813e5e341699e48fb7f7f90eaf79f7e8,2024-01-31,False
2e5fd31bcf6482f4eecdd5655892c4a844be160062229faefb2c4672e236092e,food,Amman - Amman - Swifieh,Amman - Amman - Kursi,2024-01-31 16:57:14.000,delivered,,34,33,0.55,0.02,0.6,5.38,7.88,15.75,2,0.02,23.03,24.25,,35.872,31.951,8.672115325927734,87b09d0baceadbb2d87e761cd50b4e579596a52115a092e48486ec55e1434f10,755c651a693ced8551b8b192dbd3a1ba99084ef8950d1140f594eda850fac99a,f70abbc5634e54c4571b6c2eb0007ddbacf773654e333f2fa33c3be0ee8e2b29,2024-01-31,False
57c3af92325901a6a1126ec3591514ed3ba821e6b631c43c877f5f9d71447faa,food,Amman - Amman - East Amman,Amman - Amman - Al Rabieh,2024-01-31 17:02:26.000,delivered,,45,46,0.18,0.02,0.2,49.68,62.7,25.73,7,2.7,90.92,91.33,,35.927,31.937,10.46028995513916,c7f3f09e1ca8c6b6b23d6319383e0fa7ffa84d6123ed2210e9d7c5260bf14168,b6fdccbfd925ca483d0c5693a66c8e2f53779c0bc0df3e93fa4494d140107292,a56a035dcbf7832ef709bc508135befd1356c0c6deefa09133ecd461abb92856,2024-01-31,False
935c24175b8f94dc19da972f56127c1b3efb40b5ece82b04882572896f7f0908,food,Amman - Amman - Tabarbour ,Amman - Amman - Tabarbour ,2024-01-31 15:28:15.000,delivered,,28,26,0.32,0.02,3.88,12.1,16.05,8.22,3,1.12,21.48,25.75,,35.94,32.003,2.230147123336792,fe640438a34ecb5d1e36c6016855a0189fb77b84343fe69ce9e1e7961448ce93,e00390057dcfb9bbf0619bc62fce557044e101e243b2e538907238905ca8b458,5a8603114d3d7f92cf2e1a552d2e9b248f58001c6660336cc7de22d5e2d66af8,2024-01-31,False
50c7507b624a556310d45168c9b91df432a24588c381d7efe347af7e62e5c58b,food,Amman - Amman - Swifieh,Amman - Amman - Dahiat Al Amir Rasheed,2024-01-31 19:51:02.000,delivered,,38,37,0.15,0.02,10.53,19.78,31.57,12.45,3,-0.02,33.45,44.22,,35.867,31.958,2.260413885116577,aaf03449fa4113065c5011b63ea034284a0b6f55e3acc44f068eca43f11c8176,6fd3f4350a6d5a5a09fb3ba2066d1448912463cec079df1375a682f1c3f64096,8e8e89f3bf25a8f0cd8868e92d65784f03f522d242dc535795923edaf4324cf4,2024-01-31,False
