order_id,order_type,pick_up_zone,drop_off_zone,order_received_timestamp,order_status,cancellation_type,initial_eta,upfront_eta,acceptance_time,delay_dispatch_time,captain_assignment_time,wait_time_at_merchant,food_preparation_time,time_to_customer,wait_time_in_journey,wait_time_at_customer,captain_engagement_time,delivery_time,cancellation_time,pickup_longitude,pickup_latitude,distance_travelled_km,captain_id,booking_id,route_id,day,is_pooled
c3e11d0be17145d0d64c87baf508e6786b3a5e5cf0f637770ecb7b6ca42bbb49,food,Amman - Amman - Swifieh,Amman - Amman - Dabouq,2024-01-31 15:47:45.000,delivered,,47,42,0.27,0.02,10.5,4.6,15.43,29.08,7,0.07,34.07,44.92,,35.868,31.958,10.603726387023926,d61de42f07552b90e7f6e8444d63bc6e1093e5b846bf3ac56a94a5878111e9da,703e8d2d6a0d37736ba10686ac1cf306bf28eb058dc13ea1e086e58bdba3adbc,ad47f80a25fab7baa678c35caa76eaee45554026b3f0a42cda5d3eb87568ec19,2024-01-31,False
d1170c506fcf279a1f66dd082c3ca7effd31c38a45253e5c73813c4b6fbd4502,food,Amman - Amman - Marj Hamam,Amman - Amman - Al Rabieh,2024-01-31 18:51:38.000,delivered,,42,39,0.43,0.0,12.9,5.6,23.85,15.33,5,3.4,29.68,43.07,,35.859,31.908,11.026235580444336,5c5fd827d591eba09489dbd43f7fee2a40c96f37a19089bb727494c0ed4d4cec,fe467c43bb61c44e3e188499ccb03776cea773713c0f300a32d5d7cde07b80e5,97cc351a54a2551d45f72b6e47b7436e6918405599691333fb0f0143822c18b9,2024-01-31,False
f46325f368ec66a1594b144a1cbba390ed609f65c2291baf3929ef2cabea10ee,food,Amman - Amman - Khalda,Amman - Amman - Jubaiha,2024-01-31 21:18:50.000,delivered,,38,38,0.08,0.02,10.57,0.48,13.18,22.32,7,0.07,24.98,35.72,,35.848,31.99,10.35586166381836,b89ad06465f1f38ce71e8042fc08f2c89b9e5fcf9d01f4352a00d26c872c5731,0e2a793c9b83250f7a9274c4814a5fe57890ab21088cd753fa367d6da208402e,fbc591fac4761cb2d7a1b1c3514747719ef177a3bb22d5042efbf861b607e293,2024-01-31,False
144e258b56359e1bede8b6a08b4f48b8d984dd974c395ff52b863f803e5d172c,food,Amman - Amman - Abdoun,Amman - Abdali,2024-01-31 10:52:54.000,delivered,,29,35,0.0,0.02,0.15,12.32,12.82,13.48,9,1.83,27.97,28.22,,35.892,31.948,4.168526649475098,15ed20a47833eae5212c1e80973495449d8913f890534be52dd663537474c7b4,e83242ad66b845adc55033ec330893510b2131e30cab07b4dec50baf66433f15,beb554889955c11cea8450c612e00d976473903133e7f44398407b92d4f9a32b,2024-01-31,False
f154a81cbf59e9105585747e7cb7755a09f307b420eb0afb4e6d48fb82bafea1,food,Amman - Al Dawoud Complex KML,Amman - Amman - Um Sumaq,2024-01-31 11:56:23.000,delivered,,20,20,0.02,0.03,0.47,5.13,6.42,6.58,12,9.43,21.93,22.45,,35.841,31.973,1.3781837224960327,f4e7baa54a7622aa3cb13045e2f5e066a35af37ef258dcc665a95be8320d5db2,97423ad11e92d9f360eff7b6d7e2345f0dc6d9f46260fa488be9d14da7d6ec95,b61451cd9f61030a7fdf409385c8116f22ae98459d8c5dd249abdebb021055b3,2024-01-31,False
655dec4473989a77694e8c0efb49baae4c9c92bb094c6930a161aeb4a85ad4c1,food,Amman - Amman - Abu Nusair,Amman - Amman - Abu Nusair,2024-01-31 17:25:29.000,delivered,,28,25,0.23,0.02,0.45,17.52,21.57,5.75,3,0.93,27.78,28.53,,35.892,32.058,2.0427052974700928,962ab57687a6e03d8050fe069c3d88b04d276cc2b535b409cf05097d0366ebe3,ee9f2394c3ae68c3c717a09a2190745185ff6830e6995887220a32be059aa447,8b8cbcf7de0da75dfdd248d712c0884b1d71f791cdbe6cd311a9c11dbe2f7a33,2024-01-31,False
9693618e16886cbbe6e29404f0cbfae6cfb06cebc1394e40c84e515b935c6ed9,food,Amman - Amman - 7th Circle ,Amman - Amman - Dabouq,2024-01-31 11:17:11.000,delivered,,40,34,0.37,0.02,0.33,8.27,8.73,19.25,12,8.37,36.0,36.78,,35.854,31.955,11.294761657714844,9a848dcacdc783b7749dbc95f9e44264ee21d9d89c8ccd231232c8d371d42553,28b124bc390bfa36f57fdce8c08168fe321e5587168c55def53ab32f38a1b30c,0ce1078febd24ffb36c73456b970354fcd06cc4f888c67286a584aa6cf4bd250,2024-01-31,False
b83dc2a65733e2902deb15436118aade05cd12da2e1938d638afea2d5a68a9f4,food,Amman - Amman - Al Rabieh,Amman - Amman - Wadi Seer,2024-01-31 20:42:21.000,delivered,,45,39,0.15,0.03,9.7,2.18,13.48,13.58,2,0.83,18.17,28.12,,35.867,31.988,9.477252960205078,e287c1da03f3b6f15397e100e475fc1bf884b3d8d382c747c680850cb5da8a7b,08bb3060ec8f7ccfe254b1b3253c1b21b95508ef065dbde3e1b12fd36cf934b0,b59f05728ed648c809fc338a7a9c6102e49b48a4a977cd21ac19b5bcd69763b0,2024-01-31,False
eb0cb802681aebd7513f95cb6d3a86a73f62f40a2d5043bb7669038b353d4d8d,food,Amman - Amman - Swifieh,Amman - Amman - Qutnah,2024-01-31 18:51:09.000,delivered,,42,47,0.12,0.02,10.77,40.63,51.88,29.98,10,-0.02,71.07,82.03,,35.867,31.958,10.09152889251709,1cfcd68b76f44d7ade2a5d2efe3c8239f8f1a66fa6973c8c92d5e3fd45594470,fd6da0eb4bf215eb63486339b1c34b90520ad59a2fe2988fa13e93b6817a029d,cf805af384569b074d4ef49fbaf3c5574c289a7fc44034e386e15888a5f01d81,2024-01-31,False
f7ba72f12df2c6be0f4eb242bb2643b6500c53f30deaae38ab5b25f8cab04d96,food,Amman - Amman - Al Rabieh,Amman - Amman - Jabel Nuzha,2024-01-31 19:49:48.000,delivered,,40,46,0.2,0.02,6.38,4.23,10.78,18.52,5,1.35,24.25,30.92,,35.884,31.975,9.022223472595217,d586a951077dc8061b615938852aafee034cec1af79b812b09b627da1545080d,71f0924401e29d1ce9724d944da08fa140057b16a34f5e7aa232c897e41a44d4,b582f9402cf2d9e8dcc671f605b40a98d7460c6bbb208995a6ea25aaadd7b71f,2024-01-31,False
