order_id,order_type,pick_up_zone,drop_off_zone,order_received_timestamp,order_status,cancellation_type,initial_eta,upfront_eta,acceptance_time,delay_dispatch_time,captain_assignment_time,wait_time_at_merchant,food_preparation_time,time_to_customer,wait_time_in_journey,wait_time_at_customer,captain_engagement_time,delivery_time,cancellation_time,pickup_longitude,pickup_latitude,distance_travelled_km,captain_id,booking_id,route_id,day,is_pooled
4f807a78a0b11d810a5025f27abfab722c6a2a26ee307caef7ded7aca9263785,food,Amman - Amman - Jubaiha,Amman - Amman - Dahiat Al Rasheed,2024-01-31 19:52:20.000,delivered,,40,42,0.3,0.02,10.45,5.72,19.53,18.53,3,0.03,27.63,38.45,,35.873,32.03,10.11841869354248,dfeaa8cb150b55b6506da323b4161d2797739d332dad5f9130a15edf32e96c07,f44d8bfe8c7820f5484b6e549831ab2020eb4f6b972547ac227b409c6c22e780,4c7cf3f1b88e6b05986dfe324ee9f9df80bd0d6291e4b7138fd3b292d477cba5,2024-01-31,False
e50b92efae6ae89aad589ca8eec6f6e1df2a74128b98f2843a1eb1082f68abd0,food,Amman - Amman - Al Tabasheer,Amman - Amman - Dabouq,2024-01-31 18:49:34.000,delivered,,39,41,0.15,0.02,10.42,15.62,26.5,16.23,4,0.07,32.37,43.0,,35.856,31.976,7.876238346099853,b09f62183298ba22252a2a9a9f44e04afee1edc333904733da1ab668378a21b8,02dbc4e40dc08398e6eb9a276af6ed2d6bc753f452e14ffe037bd6b2ebe295f0,fdd6f9d2c0f2de29020c550d6e373837419225e7eb15589f11b4de378bbb1464,2024-01-31,False
6d39e7fce48c3050c02d528fbc0fa61790cff477165293ef22b20ff7c3c97315,food,Amman - Amman - Swifieh,Amman - Amman - Swifieh,2024-01-31 10:51:23.000,delivered,,31,29,0.02,0.02,0.32,13.78,14.23,6.08,20,0.05,20.03,20.43,,35.872,31.95,0.0649000033736229,6208e5ce9eadae7b21fb40bc054f47bbfb4cacca58b48d0cc125d599de25e562,de24d7bd9072e7c7efad58c1b2cd38fa78646fe6d4faa6a87f942c6e43f02aac,99762498556656d39f7e4a2c45e76fadbaeb83d870dc035a33f32f5052db6faf,2024-01-31,False
2ef371020e08995ec64d6b23ef8a1cbc554ff8e3201a2ba734309dd1536567f3,food,Amman - Amman - Al Qawnaq,Amman - Amman - Marj Hamam,2024-01-31 00:14:21.000,delivered,,47,36,0.22,0.02,3.9,6.67,15.05,17.43,6,2.05,30.62,34.77,,35.839,31.949,11.125944137573242,c69d9971de452f4ca82b3a584f0e4628b413c8f485e986596d17a1d0f30e9cd6,952542377d600719ad23c1afedaf584e07dce510d7c17ee6cf07532327b24529,69ea34592bb305d0170ead90716e2ff38b023386fd8bce05ff5c0b073551606b,2024-01-31,False
7771c5e9b0a92704f3f15c347bd0c517a2a6dbbf317602beeb6c883d80aa6738,food,Amman - Amman - Tabarbour ,Amman - Amman - Tabarbour ,2024-01-31 19:42:45.000,delivered,,34,40,0.88,0.02,6.25,0.5,19.1,20.77,9,0.57,34.17,41.32,,35.951,32.006,4.330968379974365,26f936217087ff765313b6944b12beedf1939a8a85fc70b5aac117b9116153bc,d08def4780b577bce462c26670ebbbfc965322f00a3070335dbc65211c3a6740,4ddeadc186327630950c4450f1d3e3daa5c214df612c2d279ce4ecf0182d20f9,2024-01-31,False
8d7e8d368d90e5f37ce5564284700efc77097c02edb537e2f358f5e1a4d1b15f,food,Amman - Amman - Al Rabieh,Amman - Amman - Gardenz,2024-01-31 19:50:20.000,delivered,,36,34,0.02,0.02,0.75,15.5,18.95,8.42,9,8.75,35.35,36.13,,35.866,31.984,4.824155807495117,99b806095d8b02fa87cdaae2d6cd697e6adfceabd0e4d221b5e359c9bd160a98,94246c34fca0921a20c047224c53123e3192bc92a034345f4904688b319a7a9b,654bdeeab19f65e1022684c80136bc43f1889479d416ba8865540df4b62e965b,2024-01-31,False
0fa50de51474bc87e4bdc82e89f0ca357c359e7d2ef890c4c96e5d4e26a2fdf9,food,Amman - Amman - Khalda,Amman - Abdali,2024-01-31 11:43:16.000,delivered,,49,44,3.03,0.02,5.75,17.2,24.25,28.4,12,1.8,48.68,57.55,,35.836,31.997,9.739212989807127,ec3f1c2f60976517bfa3390e71e1b1d81aa10042dc48a556553494bb46f73b84,42af9f0616af42ce5c34190933e208981fe3191f7484931f4d540dea8a1f30b4,25f28ed74119a51719ad6f195465fd0230abde1b342d77da63db6f4bbdfce977,2024-01-31,False
9519ba7bcdd8a98479a03bc83187914cfb68f2b792c25a9db227d8fc320a6dc3,food,Amman - Amman - Khalda,Amman - Amman - Tlaa Ali,2024-01-31 21:30:53.000,delivered,,32,24,0.23,0.02,7.63,10.02,19.35,5.12,5,2.83,19.65,27.53,,35.835,31.996,1.87255859375,e089df0e16ce4f1f866054a4b146944dd887228ff3f9953c949d086465ac9636,3ad1165c94cc2263bc78d3b5279615832f151d16455fd156a8a19b71195a48d9,de26e0bd06c6a3c6adbe2955c25c43b70f137b1441f3045c9b70c315f997537d,2024-01-31,False
757f040a00f869014dd44e3ff7c3e8db5899f9943aa7e2d96ee2b8220db259d5,food,Amman - Al Dawoud Complex KML,Amman - Amman - Um Sumaq,2024-01-31 18:26:20.000,delivered,,30,26,0.02,0.02,10.38,15.2,25.73,6.9,3,0.88,23.12,33.6,,35.842,31.973,2.6269962787628174,fcc5571dbc069c6777244ec132804e66271c680be2048ca6e3abdc2f4234e36e,836d4948e5aeec0e70cef6b85db75df728c52acf52b4e243f6e0bbf74473165a,ed6b89947cfb8439011f064b2cb98725618a9a788086c4c26b0f459411c72a50,2024-01-31,False
65d48a2b79d59d92c97dfb8290a67ee44a7116f5d1bea822620b4bb1c62e3a1c,food,Amman - Amman - Al Rabieh,Amman - Amman - Al Rabieh,2024-01-31 18:28:22.000,delivered,,35,30,0.12,0.02,8.3,9.8,19.58,8.7,6,3.23,23.2,31.63,,35.886,31.985,2.416432380676269,6b8352a4735bcb18894d1481432ce9275e0a391c3bd46ed74dc122bede5e883a,6f82fcf6e7283633965bbd44e5b714f4628b6c1c3c9508e88d3dd85d84dc897d,3dc504e5259433194ae93bf1a6b641ba0f2eb51aac9707f8ad4dbf08b090d707,2024-01-31,False
