order_id,order_type,pick_up_zone,drop_off_zone,order_received_timestamp,order_status,cancellation_type,initial_eta,upfront_eta,acceptance_time,delay_dispatch_time,captain_assignment_time,wait_time_at_merchant,food_preparation_time,time_to_customer,wait_time_in_journey,wait_time_at_customer,captain_engagement_time,delivery_time,cancellation_time,pickup_longitude,pickup_latitude,distance_travelled_km,captain_id,booking_id,route_id,day,is_pooled
a6173eab55ad3798e7f6430cbeb47e2c5c8da1eae557e1e59f59ecbb9e89ba6f,food,Amman - Amman - Khalda,Amman - Amman - Jubaiha,2024-01-31 11:16:02.000,delivered,,38,32,0.03,0.02,1.32,6.55,11.72,22.37,8,0.0,32.75,34.18,,35.846,31.997,6.391031265258789,f7dd914aaed5b8a6c5302e2ce5b962199a8661fedcac32e31caf3acf7d76befa,e43ceac79bc3e9b7847f4284c15019e47594e11b3fb8837007e43b293f153858,bb12087b463bb0825ffe8cff2939857181aaf721bd2f34583096bbe44c8907ad,2024-01-31,False
9fec5c69ace00e3600f27d4266edc22abb0524f0b65dbe0686dac38359001e57,food,Amman - Amman - Swifieh,Amman - Amman - Al Rabieh,2024-01-31 12:08:25.000,delivered,,31,27,0.1,0.02,0.15,11.32,11.65,15.62,7,0.42,27.52,27.85,,35.872,31.951,4.740339279174805,7c16cdab99b01f27d2941d5dcb1f4135c392471b85f6f4b9882588a5a8e345fa,389ab8a3f171800c649aaf3a2e20a7d6cd8cfecba60f3ba7b60b2354591a2cb2,cf3c9186d78efd99b758934f3a6f1fec3948180869e5b9dd4db281c4f48761e7,2024-01-31,False
47467c71fc93022de77d1fac8460bcd2553361bfef61c0aca97618440784a12b,food,Amman - Amman - Al Rabieh,Amman - Amman - Tlaa Ali,2024-01-31 16:41:29.000,delivered,,42,42,0.2,0.02,10.53,5.57,21.37,16.43,5,2.88,30.13,40.88,,35.885,31.974,6.466884136199951,e5a0de677360fed18ffa2a4c23ec6ec3bad2566c0d93a21dfe31c9314df7f0fa,2aa7e3cd9c2e3ffde20a78a1ced4fbfd4872fa3309d090f2185409b1d99a3c6b,f50d65887e7b0b426f5c090392beeeabddfdfe0553da6dfca6c51552ad25a0b9,2024-01-31,False
1811be2d0f626318542586e3f40380f631461d1a379b346d5e7b04a6ac44ca30,food,Amman - Amman - Swifieh,Amman - Amman - Dahiat Al Yasmeen,2024-01-31 17:41:09.000,delivered,,44,38,0.37,0.02,6.22,13.75,25.4,16.7,11,2.88,38.75,45.4,,35.872,31.951,5.565585136413574,166dc61eecf8c63e304623f4ae985a00da0343cd27f1ae4d32b0f5146cbd6df1,cfec6b97d777e7a78fb604c6b463fb22a828d8e39ac6d887e6f04746f79c060b,ccb648d81b21deaf47a037887e7dfbc578f2cc527793b4ba786d6114e94a3fac,2024-01-31,False
e6ea8c72d89847a256ed345f598014a7c64970abe3a11e57ea5233bf78999b69,food,Amman - Amman - Swifieh,Amman - Amman - Tabarbour ,2024-01-31 10:28:08.000,delivered,,53,57,0.23,0.02,10.37,7.3,21.35,25.78,9,1.03,37.78,48.45,,35.868,31.958,10.613377571105955,5c1be8799ee26dc4e3ed187ec28cb1f1565b504fd7d82a4b2092dc552417637d,59580cd46046560be0a3e7279cd5b2655f0c7db82a4bc3db703106f66904f90c,d21d5cf9d0848859e6395b6da29395312b88b277fed97a6149e4d74202bc03b4,2024-01-31,False
4461faee6f2d694d31ea59fc2c07202bb38e3f929ebdb850c0f1cfc44b7fa30a,food,Amman - Amman - 7th Circle ,Amman - Amman - Swifieh,2024-01-31 10:34:22.000,delivered,,41,43,0.08,0.03,10.23,11.72,22.25,11.0,4,0.02,23.0,33.42,,35.854,31.958,4.033165454864502,7ccad632b6ecd0119fc6904f56887d3e99ea6656d118ccf22a4fbaffb5f9587f,a637e3987a7a29bc2909a084c2731cb5c78a3f0f597104b8f33e86c4fb39b782,252ada3fdc503a594aca829c564f5b47ab04d5239fac30f152338a701fea2761,2024-01-31,False
80b5d10e6f726e50d29fd864ed7a0d39f6fe415ed35d5be32987d4d0b9282e69,food,Amman - Amman - Swifieh,Amman - Amman - Tabarbour ,2024-01-31 12:50:31.000,delivered,,61,60,0.38,0.03,10.1,5.48,15.92,43.0,11,3.87,52.65,63.17,,35.868,31.958,16.283992767333984,2b280653fdd26f0bbc4117eed95c50d7c876f37c66f50fbd23f1b46c718eb907,9cbc51b92a6ffe3cf0f17192acf9324bb4ea4d42701ade8a6c480e0983f17125,fa69175842d168ba916d4534c26363b58fc64034a9823a310699c4a79a26bbd7,2024-01-31,False
8c257d4e5026a515a2ea0c4d96eff7dd2a1607cf8c4bf1b93f5b05cc82e49d13,food,Amman - Amman - Jubaiha,Amman - Amman - Khalda,2024-01-31 10:35:09.000,delivered,,25,28,0.3,0.0,0.8,0.12,13.88,15.55,8,0.03,28.67,29.77,,35.869,32.029,3.2654736042022705,981a67463fc94d638b890a095cf2d2fce4c734a0d8c635500a1ef20375a7ff60,90da5cd5f84fe8112c09b472933cb05fe4c0d1503c1c6af1726b4475b4e26006,e8fe3da7b3c1e9ae6d03617b6bacf3fd051ae2679b9e55f1563ced21a7bfd959,2024-01-31,False
3b7c53762e810405928b779fc56016d1d0b8476964d79b9e0e6918e0939b0da9,food,Amman - Amman - Al Rabieh,Amman - Amman - Khalda,2024-01-31 08:02:51.000,delivered,,41,37,0.12,0.02,0.75,17.37,23.75,13.98,11,9.48,46.45,47.33,,35.865,31.98,5.982123851776123,aa36514eb700a2a83abcd4f4a3b7a8ce94f5c902a5a6884dab1ea4f0e5978e84,ff23cc8a6e48ea93aa26c8c6216f8b9fb111e02b154386eeaf854d66c65298b0,fd52579040e98d0367440a4b9eba4a6a36207ca457eb6e6308e025d08908f603,2024-01-31,False
7873e204149a94757cf9492cea3a9c06b261b72ffce45dd9b558e0342ef226bc,food,Amman - Amman - Dahiat Al Amir Rasheed,Amman - KHBP,2024-01-31 09:56:48.000,delivered,,33,33,0.0,0.02,0.12,10.77,14.63,8.15,2,1.37,24.02,24.23,,35.852,31.975,3.522578477859497,1dfa438fc667058c5ee8c8811d3d5a90669541e6de9cf83e35118e76b1897c15,eb8d46a7978b2597cf73d4a85b3c7bf821319d03edd70b88df66d094033cb13c,4bbf37c37e2f308cb61b81b8d318a90b7cb9f735005fcbff4ffa8cdc64bf5a7a,2024-01-31,False
0ea67a131c1137d4e1ea2039a5b736ee7c1074d4e55f3e2365191c773285715e,food,Amman - Amman - Al Rabieh,Amman - Amman - Al Rabieh,2024-01-31 17:09:13.000,delivered,,28,28,0.13,0.03,5.13,6.82,15.07,7.62,4,1.22,18.73,24.03,,35.884,31.974,1.9776051044464111,f444f714b0c905c928a362f56d11e7373180a69b4c67ce082d7becf26909cc4f,2450083faf0d23dcc128152ce325b200f53a923e4f90564789678954264d4b7b,80038d0edeb2d2a774fd7fa8f2dcc74e83140eb920b01551bb27d8c48595f7a2,2024-01-31,False
7aa2336b171d162e5d0ee5d2f24ba7643aeecd93f48ec336f073fdc7c8a222d8,food,Amman - Amman - Dahiat Al Amir Rasheed,Amman - Amman - Shmisani ,2024-01-31 15:19:25.000,delivered,,48,51,0.12,0.02,8.67,1.32,11.0,23.05,5,0.05,25.42,34.28,,35.846,31.974,7.971804141998291,6a8b7b3160cceef783257bc306fa22729e113e9135ca9163e7b911573dcb059c,8a144c4c4d95f17fc89849f73db4342f4eef4b53acd97264dcc5a9403c28ccee,55950fdb7a7b68e6837a8d0a3f898abf4af4ae20a45cb60f9cc651e9b919c624,2024-01-31,False
e2dd5e18b116fd801fccd232a61e4db322f85bce31e716bd60bbb583dfba742d,food,Amman - Amman - Sport City,Amman - Amman - Gardenz,2024-01-31 07:57:05.000,delivered,,30,24,0.02,0.02,0.35,1.83,3.9,11.28,7,4.6,19.42,19.87,,35.91,31.99,3.87999963760376,ad3cbc1a1fbf270728a97adc69799bcc4156ddade8f3280173f62583bb438c90,3016e835995ce1961e1410a1d73aad8f7e745bc1e16a68b60770195577250e89,d364f5ee19039705427e9317ccc67fb608b5068ae388ed488dcd9f4a60a47b8c,2024-01-31,False
