order_id,order_type,pick_up_zone,drop_off_zone,order_received_timestamp,order_status,cancellation_type,initial_eta,upfront_eta,acceptance_time,delay_dispatch_time,captain_assignment_time,wait_time_at_merchant,food_preparation_time,time_to_customer,wait_time_in_journey,wait_time_at_customer,captain_engagement_time,delivery_time,cancellation_time,pickup_longitude,pickup_latitude,distance_travelled_km,captain_id,booking_id,route_id,day,is_pooled
7d9b4f0831fb8f3572670f5512d114a27bca4687b7270c488235e3b3e8be97ec,food,Amman - Amman - 7th Circle ,Amman - Amman - Al Tabasheer,2024-01-31 17:16:50.000,delivered,,27,22,1.97,0.0,6.78,2.92,11.82,7.85,6,2.47,15.35,24.15,,35.855,31.955,1.7608197927474976,5cd587fb8ab114c161a1229009158c89608c318a818540a960238910d44efa41,c2fbce7c7e771ace04d278ae9d29228e95a474888c38c366264659d5410b336f,fcf7a7168877658d2838402417f09e4fdbf6e3c886670fdd71353bb9c00ccba0,2024-01-31,False
d984cb2f96303c38b1c9a9d21778d98fa45b0879bf13943b29d6c888510f8fd7,food,Amman - Amman - Dahiat Al Amir Rasheed,Amman - Amman - Marj Hamam,2024-01-31 06:48:02.000,delivered,,44,41,0.13,0.02,0.15,15.85,16.17,12.1,5,2.9,31.0,31.37,,35.845,31.966,6.755629062652588,b557f2a7732cbbd257a2d114baa4a94bf34e9736fc6139dde92e8b445f763d40,5ce7f9aef6a9828a4a77c3edcfee9ba064433133c1f64d08453e626f03d5c55f,acda59b9b9f664a9aa8f7a25dd463b4d38e8d312918c6f7cb02f1a812f61e592,2024-01-31,False
488c03c08a6bee2a350ee833088e12f1c04fa040d2df12cc63616709de5fa93f,food,Amman - Amman - Al Rabieh,Amman - Amman - Swifieh,2024-01-31 20:33:14.000,delivered,,33,26,0.38,0.02,5.4,5.32,13.77,14.38,4,0.6,23.33,29.18,,35.878,31.987,6.770132064819336,09af31b37d97d623d9a1e1b206cee8e09b6aded37edefac80b0ce4263a7ff1fe,64822335ace7e34f57f746d39c3d18415f393c8fd82c5874754a923c38be258b,6632980e43e7516816ec89c6e77ee81209ee92cc1e64506ea424ac8e66f5e5ef,2024-01-31,False
8a7a784d95f194b68e60ebe349e771c7a222954bc9aadb51c2c44e8e3196e8b3,food,Amman - Amman - Jabel Nuzha,Amman - Amman - Jabel Nuzha,2024-01-31 20:08:22.000,delivered,,35,25,0.25,0.02,10.5,19.52,31.28,8.92,3,-0.02,29.67,40.45,,35.929,31.976,1.793303370475769,46877be2b4e9808d05712ce274d5a5aa34be90dd40c6a022f223bd7b297a49c6,b151a9cd833263fd99bfc1c2648c64f5660a052f2e5e42fc4772bdeb89ec45e9,596928ffa2460ad892d7a167812de09dcece5d2853afb224e544dab6234b065f,2024-01-31,False
41a610f45726eb3a207e4e06714b09cc994866996b289a3728767e156e90578a,food,Amman - Amman - Jubaiha,Amman - Amman - Jubaiha,2024-01-31 07:05:33.000,delivered,,45,27,0.1,0.02,0.52,11.13,11.83,10.82,3,0.05,22.17,22.88,,35.886,32.021,4.117392539978027,4b209a1725b823a82eaf24902bf6848a426320c3f0e3fc651e802f3a90a7cafe,9b85b134863ea451e3d750d0e357d0e47094b545c6f48b5fa4a009f60ec51adb,ed6b80d282b3c0a59e66e1cf02924a1ed234f15e67d135b0df4b7eef049e6da7,2024-01-31,False
22dd5c144048a78267d8c4d0506cbae86645d015141e637b32db1d5fb26b8411,food,Amman - Amman - Sport City,Amman - Amman - Jabel Amman,2024-01-31 08:30:01.000,delivered,,29,26,0.0,0.03,0.57,2.7,5.83,12.73,7,10.15,28.12,28.78,,35.91,31.99,7.337924003601074,6b8352a4735bcb18894d1481432ce9275e0a391c3bd46ed74dc122bede5e883a,b09b70f3b2150985334193c4b132727a3ce3dcc72d9b3296460a7f1257ce786f,b5b4a5df733f4ba65084f52d4c5ced11bf2c1f87287c42c6e93f5b2264ade0e8,2024-01-31,False
0919e5a33db9a8ab68ae31d6518d464f44f96b13d6f55232d645413a8820129f,food,Amman - Amman - Tabarbour ,Amman - Amman - Jurn,2024-01-31 13:47:57.000,delivered,,38,42,0.38,0.02,0.27,1.68,14.23,11.1,3,0.03,25.08,25.8,,35.943,31.991,3.778061389923096,0dde30a0a0ad4c1ba769efbea9b5cbc09fb362fd51d7eb5a0b9b4513f7c6455e,0114d44f1fe42f0de69c576471359aeccb1067226f59e28d74e11944b5c21b14,19fcbff641988dd59529aad1d064846e42cbddf73c3d757e1ae4b422247752a2,2024-01-31,False
0879101eaf74b3878609cfa186d23ec9e195dd1be0b97091ba724167320bc2f0,food,Amman - Amman - Jabel Nuzha,,2024-01-31 12:15:09.000,delivered,,42,42,0.15,0.02,0.43,10.45,15.13,9.63,2,1.07,25.38,25.98,,35.929,31.972,4.560354709625244,3215be40f3e1d39bf608158c2ce71964a23e74c15686fae62c9763ef184cb2fa,4b80c8499100e3a84ad36af9df135bbe248b0c013871d034e506a58b2368d809,23ca436ed30166f753209256809d77125bcc1d6d292f00970423f2f3cd50d426,2024-01-31,False
a6d857a3d9eafdd902cafeb29065b18525e7fb3c4d541ae3b81a96ab53874d01,food,Amman - Amman - Jubaiha,Amman - Amman - Abu Nusair,2024-01-31 15:06:11.000,delivered,,37,37,0.02,0.03,10.18,3.45,13.73,12.58,3,0.03,16.13,26.38,,35.869,32.029,6.279501438140869,dc52f0d0cd4dc3fd3516f16865c73233a2dc6d95d45190a33baeb1ac6af9a89b,3bc5fb430e024719a89b9d0e19a1b88bb6134985819bac24759bc4bb1ee0b9e8,4706f445fea05d552e4b5052a1e1ba4fcb2e07a52d11d7cb26a85fc8a9dc1639,2024-01-31,False
04e34c69c0a47a4b05559773b28d926a995b5ab5b7361c3a59ae171ba4b0405d,food,Amman - Amman - Dahiat Al Amir Rasheed,Amman - Amman - Tlaa Ali,2024-01-31 17:30:56.000,delivered,,42,48,0.6,0.02,10.55,6.2,23.97,15.6,4,1.2,30.2,41.42,,35.854,31.974,6.419919013977051,303f6205bcfc3fccd34fe64035e519a6be764eab01b20264aa214e58b2cd9558,b0d5dfabc07a3f572795bf1abc2de920308b284d028f5a5aee6a313792be48fe,1e5bae65fbd2d9d583e181fab071e5a0d488f255b00839841b0970aa33ad9ed8,2024-01-31,False
