order_id,order_type,pick_up_zone,drop_off_zone,order_received_timestamp,order_status,cancellation_type,initial_eta,upfront_eta,acceptance_time,delay_dispatch_time,captain_assignment_time,wait_time_at_merchant,food_preparation_time,time_to_customer,wait_time_in_journey,wait_time_at_customer,captain_engagement_time,delivery_time,cancellation_time,pickup_longitude,pickup_latitude,distance_travelled_km,captain_id,booking_id,route_id,day,is_pooled
d8ed27a316cb2dbc27ed7deeea233efc468a1b29d4472450e11877b9125f650a,food,Amman - Amman - 7th Circle ,Amman - Amman - Abdoun,2024-01-31 14:41:42.000,delivered,,41,40,0.12,0.02,8.82,7.18,18.63,26.43,12,0.12,36.35,45.37,,35.855,31.956,6.089407920837402,b4974b5b7961394c0d0602caba190fbec0ce488acab2a32fb11c6aac0ed571a4,c292df016f60accd8ef24220296eba8f456f8f656d8aa576f26fde4e5182e0d4,681a92467733ff55e3251b5c342d80e7c17f270daab2b24f6d6a7c11c79bb26b,2024-01-31,False
95a768f0889518c0be494ba8e610b3462488536aa890ad5fd44e0f9fedb7e02e,food,Amman - Amman - Um Sumaq,Amman - Amman - Al Rabieh,2024-01-31 14:46:14.000,delivered,,46,38,0.13,0.02,6.63,32.57,46.17,27.88,20,1.58,68.98,75.83,,35.858,31.994,4.378407955169678,bde8f99d30cd4cab3d2a53126713834cfed0a20cf5573f8a3a968a5f81bbc579,a7506a5eb7f5543a8d5734d5333fba17a35fd6e1544b9ac3a3f4c0c0a30fa7a1,eee936381a653bcc5114e0c82f45a1ab9bb2e2e1b9eca585473ed1628908fe63,2024-01-31,False
d597d83326ffed928debf76ccabb07ed1c96bd493fbd53dc8c9fe4bede90a2dd,food,Amman - Amman - Um Sumaq,Amman - Amman - Marj Hamam,2024-01-31 13:46:28.000,delivered,,63,57,4.55,0.02,15.98,42.77,64.02,20.7,2,-0.02,68.7,89.32,,35.847,31.982,11.490803718566896,ddedd08432785a0ab53802d1b2e987e43b77eafdfb4776ad8886f2950d811ef3,d04d611bfc26fd5940001dd2db66690f80931c36c0c8631a0de1a84c44ba9885,4e06316c48b556290dab14d8c9fecadb2024ec1dfaf7c75045ebfbd9bb8c73e9,2024-01-31,False
0cf07eefcd07900cadd537015462a81e5a15efb035a4492b0b0f00b51b39e048,food,Amman - mecca mall,Amman - Amman - Dabouq,2024-01-31 09:42:39.000,delivered,,43,43,0.13,0.02,0.55,17.73,20.02,11.3,4,1.1,31.85,32.62,,35.843,31.977,4.84350061416626,6072fb7414bb3aeb4385653664d1039905c960e84b78027808eeec8ac7f261ac,f0d516208e0af4e025c23c96dee4dac56f9e1a209efd78da063f5fd8a284404b,668f3a585cb7fdd017e5839e245524a665441dfc4b0432c45613f8f0a643e020,2024-01-31,False
62b8e486251c7b703269466252908f4c0e29311aae42cc862823abb0b05b96f4,food,Amman - Dabouq District KML,Amman - Amman - Um Sumaq,2024-01-31 20:27:30.000,delivered,,29,28,0.18,0.02,0.58,17.78,20.37,6.82,6,4.12,30.7,31.53,,35.834,31.996,2.2601771354675293,24d6ca82fdccb5bb3aef36c05cf929df9a6ed48856c8a6dfd38399d0af94f9ec,b0a6cabf50a48985d5e7e0a53641480d4120f00d6a9892b99bf80acd546fef8e,9581283cd7362031e83aa52f240e49c95be577b2680e0f802193bf256eb99f4f,2024-01-31,False
69b1256b9b1b679d15147eb3e3298e37673bd79904bbd8e96908368d68a42c0e,food,Amman - Amman - 7th Circle ,Amman - Amman - Jabel Amman,2024-01-31 07:46:03.000,delivered,,32,43,4.95,0.02,0.4,7.22,21.73,19.27,7,2.15,42.73,48.15,,35.856,31.948,8.37437629699707,77d40573694a3cce3fffc3c8960e32e54156e4c898dd086e400926972f04a4d8,652a2dc5da6574a0c6ae076a2d86ac79c89866d5c3175083260f291136522201,7dcb024841f19402b06df9d16a7433b5f2c388107377f24168d25d1be00ac85c,2024-01-31,False
a4c646587578f5550a5d4e22c615638d3bf89c4d4b8f40398daa002b987cfb5d,food,Amman - Amman - Abdoun,Amman - Amman - Swifieh,2024-01-31 16:28:52.000,delivered,,40,30,2.02,0.02,8.48,6.73,18.73,7.03,4,0.12,17.38,27.97,,35.884,31.954,1.3639194965362549,a15681a402e34b6afa201b55242239b7440f1b5d8c33fb33f9e3f5f8bbb851f1,f6063adcf8ed372e5b42817b5e4b69c108414c717ad0b95981aa6b113e6ca68a,428937eeb7d3408797d644149d3d08d53574736d02b9dd8fa04096f769f256ab,2024-01-31,False
7f46f14d959765ca8de820c850cb5c61e372ea2469860a7cefe7b573f85988ba,food,Amman - Amman - Al Rabieh,Amman - Amman - Khalda,2024-01-31 15:06:12.000,delivered,,49,47,0.37,0.02,0.35,40.18,42.82,16.23,3,1.27,59.95,60.77,,35.869,31.973,5.87924861907959,366c7275c665d11b8c13574ce6304c640d187561ad5e3f6f90129e3b6641cc72,1b12ce691667c63e345dd1d03b14275b7b4529c024a6d8e66533903ab760e7af,f80740f2d8de6fa57eed9f1129151d7a64732f44277be002f74081632a1c692b,2024-01-31,False
99bd822a1dca179b96e4a8ca58ba080d1c27bdbf55783e7f9bfb80004827295f,food,Amman - Amman - Sahab,Amman - Amman - Marj Hamam,2024-01-31 09:42:04.000,delivered,,42,41,0.18,0.02,6.55,0.42,17.62,16.9,3,2.0,29.95,36.7,,35.913,31.915,10.34510898590088,9e181add1ad8b3e62f44cc30df1a5c8564bb2e947754c5ac77cbe3c48b9236e9,887ee7a99fc07f9559b66b97b97523652e3bd4fee11ecf7b65240f0d32f86cd7,52b5ef4734e55c54baa67047178b5a7fa19ed780e62187c8b6a9ec4fc094dcf1,2024-01-31,False
a462051d78cd8a7cea525e436ccee71556a69eddccc9c3d0adec1515a5d33dc7,food,Amman - Amman - Jabel Amman,Amman - Amman - Shmisani ,2024-01-31 12:39:17.000,delivered,,39,47,0.45,0.03,0.5,12.9,18.9,23.9,8,2.13,44.4,45.43,,35.92,31.949,3.051586389541626,d667e586642d0f77e447ea122645f724d20b079a88266f8262721a05a96ec735,a5c79ce1122abff9006a342885b3d1ea91ca5bccdc437da8f62c00270e3a1054,08f8893ac74a37791eb045a490697cb345d684798cc92d2ef512ace1f9e5047e,2024-01-31,False
2ff20c48dd0ec2e4ab0fbcb8a0e8d084ffedcccb7569a564b99aa2370d7b45d0,food,Amman - Amman - Jubaiha,Amman - Amman - Swilih,2024-01-31 10:34:18.000,delivered,,39,43,0.78,0.02,0.4,4.32,12.08,12.05,4,0.0,23.72,24.98,,35.864,32.029,2.6341381072998047,1c6b6c1f829f4f77f5c44d73732699129a217c96db0f2844aaba468665a71ab1,268a79df4494cbdcfe737ec402bb04cc2b58aa67d4a409e01c557e32fccb2e61,88fd579341d26618ce496382e4097ee89b436f3800f72fc7b1feff954d425a7e,2024-01-31,False
f5f3631a49533f8e6669ac9963949b2665b92000a8b8eb368b1054c3205d863c,food,Amman - Amman - Dahiat Al Amir Rasheed,Amman - Amman - Al Rabieh,2024-01-31 18:42:07.000,delivered,,44,47,0.3,0.02,10.1,19.63,31.83,13.37,7,4.38,39.47,49.88,,35.847,31.974,6.200345993041992,14233b6354ed71cc103c5c18629c1da8b03fe3065fb8a1c199e00af1ae90563f,e838f1784e978c0913e8d20d01ef310e9590e7626eda90f85c052eadef764652,e0774f3c0e8b2f0e69481efe486deb98462547771779659f3ed250e4be2feb9c,2024-01-31,False
