order_id,order_type,pick_up_zone,drop_off_zone,order_received_timestamp,order_status,cancellation_type,initial_eta,upfront_eta,acceptance_time,delay_dispatch_time,captain_assignment_time,wait_time_at_merchant,food_preparation_time,time_to_customer,wait_time_in_journey,wait_time_at_customer,captain_engagement_time,delivery_time,cancellation_time,pickup_longitude,pickup_latitude,distance_travelled_km,captain_id,booking_id,route_id,day,is_pooled
971dd696fca748f7ed71053ec93669caf6c1f3239d9ad4578475af0b99b293c7,food,Amman - Amman - Tabarbour ,Amman - Amman - Tabarbour ,2024-01-31 22:20:10.000,delivered,,23,24,0.02,0.02,7.82,2.6,10.67,9.4,5,0.08,12.32,20.17,,35.94,32.003,1.4893224239349363,95e40010967b8147a395d5da2aa2fc122a5b4101d476bac0e2d189bf5e7522d3,050fc4b7c84f09f9c67444a32507bb65ac02dc41ffac52700eeedf4d2e61b6d3,bab91dcb1785db48b6ef4d82b8ebe0569ec6ade57c5139b9726e2a57fbe0aec5,2024-01-31,False
71ce58ed1ecb9ae223dd17f9aaeb2272331ea17dc61708efb42d6a4fd80fa337,food,Amman - Amman - Al Rabieh,Amman - Abdali,2024-01-31 07:22:15.000,delivered,,31,29,0.12,0.02,0.25,2.45,8.52,14.42,4,0.03,22.7,23.15,,35.879,31.972,6.056834697723389,335b007ff6b113e1356164158b72edcdeb0d52096b03047ee1c4c5b9ffec62b1,4a75b0349823b1a7f2723e49c8a83c5ec1b3d78bc1a717f0b493d8e5218e8b16,72a8c60d60262fc3e83bf474d258a67eb8caf6f8810c46b60d5241bc4cf82971,2024-01-31,False
df123c46f200551cf1cc85114c1ec1b33e9042e31bad682c4e7f643c066fa876,food,Amman - Amman - Um Uthaina,Amman - Amman - Swifieh,2024-01-31 09:16:17.000,delivered,,35,36,0.22,0.02,5.43,7.17,18.75,12.88,7,0.0,26.18,31.92,,35.879,31.964,4.27536678314209,ef7ee5ab929b19b5c10d0d713895e04a5dd2cb46a5f55ceceb1878da1429aeb2,f53501fa4cec1c6c386fbdcdafa9184b8e3b231d0642d3f339de69b407b9b6eb,19dc8a34e9338c796f588b6eb54ad84ad16ea7067118b63a1877c8a763725516,2024-01-31,False
94cf2dc5503fb80e9e4c3a87f5c7483b6523d035eac678e3508ac29f113ff614,food,Amman - Amman - Swifieh,Amman - Amman - Um Sumaq,2024-01-31 18:51:20.000,delivered,,45,51,0.17,0.02,7.65,14.22,25.0,11.85,5,3.95,33.13,40.98,,35.861,31.958,5.248507022857666,cfcba67c3d827f6af0bd3e0ff285a7f4f85318201d4b4815a58a7a490761b7d1,3447059323daef0b55a7479cbdfd48bfba57a91ed6bb45e5934d6fe4b4bcbcd0,b28dec13876994f49b3a7198f3e78551c818fcf080ab6bda4cff16f37a3858a1,2024-01-31,False
47750bf3cd6fda51116d2a5ec05fbc5679f145ec3e8892c71908e601122cf436,food,Amman - Amman - Al Rabieh,Amman - Amman - Gardenz,2024-01-31 21:09:54.000,delivered,,30,25,0.1,0.02,0.88,7.77,12.65,9.53,4,-0.02,21.27,22.27,,35.883,31.975,2.0559637546539307,07241b16bbcf770c6ee358d6a7e53223d6c022bbf62726095fe61b38ba225f00,931329fc96b1710eb0967f44828d37ce39499e05d2dddec65d848e4b311dd817,bb04ff7ddd08d757d58108e043002091eab4f16a8849820222132f93c221138a,2024-01-31,False
d5ef9a0142b9fc1d453d4b71a623e985ae3403446d270f0da2eab72150399e03,food,Amman - Amman - Swifieh,Amman - Amman - Swifieh,2024-01-31 16:08:01.000,delivered,,19,17,0.1,0.02,2.18,2.27,10.2,5.43,3,0.27,13.7,16.07,,35.872,31.951,1.347570538520813,1e811643a00aa847513f0c65b6de5cc923980b0b7d5917b453ab0975b37a6b89,50451b311069338712c6aa252e10bbed95e1725943c7f2018de6382b3d86ba9a,30f8bd14ff2556b1328873d498cd8b7714a7f2cab369ad4cd4b9436c1eb50c9b,2024-01-31,False
b1b2a28270685dd8fb96312a093ae7878eade013e95b24a7a1ce78c0c43dc66e,food,Amman - Amman - Um Sumaq,Amman - Amman - Um Sumaq,2024-01-31 23:42:04.000,delivered,,29,24,0.32,0.02,5.45,7.9,15.52,5.13,3,1.0,16.18,21.97,,35.86,31.994,1.290021896362305,1e565f1831e6e81f4d89b5af2daef559cb39ce145d976c82c74eaeb48dec1a37,5f661997b768ee1bf974248a8e640338eac4763c23aa0126dedbcece943aa857,038fd6a391b50d1cc394421629f63e2105e71e2f01fd2ee827e537e90f115b4b,2024-01-31,False
9a5ca8339e34a2d6b7463d67215a24d64e39ab556f54a5a052137a369f5e25cb,food,Amman - Amman - Al Rabieh,Amman - Amman - Dahiat Al Rasheed,2024-01-31 09:13:41.000,delivered,,32,30,0.15,0.0,0.3,17.83,18.43,13.28,7,7.63,39.05,39.55,,35.879,31.972,5.141915321350098,833a9a8a1673e78f2fc8d45e2413f890c5eb3381af1a40cfa87fbd22d1f5fb2b,02dbd7207366e8274d8feaba2b9b48f53206e20e6842f140352acce41022f887,ed45b5087414561d722bbdfb89370317295f6477978192de716c3bad60e09202,2024-01-31,False
c79a0901aca694107e0045e53bd6c46ac521058d05b3eb8ef90c1c399dd6ede2,food,Amman - Amman - Al Rabieh,Amman - Amman - Shmisani ,2024-01-31 19:26:21.000,delivered,,32,33,0.02,0.03,10.35,1.42,28.5,7.9,3,-0.32,25.7,36.1,,35.884,31.974,2.5304324626922607,d243e17af8e3559029f17b0f80b69681201d303cbc40b112914a0598ff489d72,a4a174a10c5360965e1b36b3e656da938298e3f859b5e214d92e27fcf7aeea73,3de54a2e4c1e38e44846102c535dae1b9e30f8452ba134242754372b151f4252,2024-01-31,False
30972bf0fc1794ab1e21843a7e086a868e6d80376077db008512f9a762bfc7c7,food,Amman - Amman - Dahiat Al Rasheed,Amman - Amman - Jubaiha,2024-01-31 19:39:19.000,delivered,,17,16,0.13,0.02,3.75,0.6,19.58,19.57,8,-0.08,35.3,39.25,,35.883,32.013,4.58320426940918,7d7c7e0d9b8ad711fb9067e010d242c81707d038f78cf77689db3b94e574a13e,58575a34df127e52c7e2a70191807c99c82e563d1b77f62e11ce3bce8c4807ab,7cd6c75ae151b74ecf8d661bb7f8762e28419d05275a2ee3797f64f7df7b6be0,2024-01-31,False
2205e81f9685a8be572385658c9b161942968a5c982b02afa74075b140132096,food,Amman - Amman - Al Rabieh,Amman - Amman - Al Rabieh,2024-01-31 11:14:43.000,delivered,,31,29,0.02,0.02,0.17,28.73,31.53,7.18,1,0.22,38.75,39.02,,35.866,31.984,2.4441606998443604,382ff5c175971ac32b9b9524b203bd97d3fb29b791012dde56645e1cee039873,e143dec78eb1a5852e10479ce6ba62ebc1556636925290e9081d9919c367461a,6be7489459fffcef2e409152897731e3dd83764e7948d6187fddb9cb24651db7,2024-01-31,False
2c5f9d66545033e9c086e6d9bb09ecbd9e7f1af22f06abb08f3b44ab45dfd47f,food,Amman - Amman - Tabarbour ,Amman - Amman - Tabarbour ,2024-01-31 17:03:44.000,delivered,,28,29,0.02,0.02,4.87,4.3,10.38,5.48,1,0.0,10.98,15.97,,35.949,32.002,1.8992011547088623,5f6f886ffc6dc11fc0211e325b670ffefada802292903865bcbf2db78654f9aa,3ad296887ac14f9086874291b2ec308fdaaf42f6293df297602ee2a3a1958e94,bc7e56b76c4d46960b13657d6f7ff3d32affa6ae98516c2701c7a730a051dc05,2024-01-31,False
