trip_id,time
17ec115a645c3165fce8a08dc02aa22bfc9ebd490be1996f110441f4fdfb6971,3603.497999
e71faf56f8dc7a5c59ba0d9e6a94e51312f433da82dc539570e69a95942ecefa,3606.006999
ee28fc89ced2dfce3a5f95cf168278f78752de76944103706a765702b0d9bc41,3610.046
1aaadc77952fd5276ee2f0190c3b8a7632dacea6263336fae6545b35508cd582,3617.504999
713bfea73ed723b5edb042d81061768f9eb85b1feeee964a728f2320de16b494,3618.895999
731f8f0920ca599fa07130d90cfd5a5412a5284da589346337a2a0d5feb644fd,3627.681999
1ae4509ab4d556fa25ce00d666fba85b9ec224a432da609522d2914df3cba17c,3629.048
5b4a8eeb6c95bba2b3f6a599b11c651d19353077f7adfb2bc919d46905e5bfbc,3630.837999
3692e90fe8410b5ffcf520a5ea0092850841e377712b74847ac5f7b5dd95f4b8,3634.021999
ae9d4125c28e1e19984aa087c3d9eab30bc33aefa547aff7ab8bd3ae34dca5b2,3640.542999
9a3af894d34286f385d68b2ac3d58eddca85606679119f2fc35f0a5c4fce02b9,3643.006
50c99e0c7c7ec0fad46c265ce7d073c177785a6d82facee0119d3a5a9ca677b5,3643.03
2fdd300481cb39c7dc353d445a3b02dd432a8ffdb0b694df18becd8c6c9772e8,3646.003999
45f84021d2c443d1d266f2c8e4c6a3d7a12ff8d72068100f62e764719edc99ea,3647.962
685c591549c967d350413daf9836ad8e76237477e6e925f86199bab996a02e18,3648.094999
7b11022bd70bdc7d9f8ff9557d2f9772f84be9f0d169989e4555f4e2b8664a94,3652.368
1cefd58e05a360236f2de2b6762afb069cbd6d4485c9707ccf4f910a8018830b,3653.073999
f4a1f89d7a3c6d2a06384f139a73c2126f6136d43761b7fdba3c778bd1d6ec0a,3659.001
b2d9490107b483fab14e4c4c1a229cc8fb3a281d4eedacda80b43c9608374545,3660.026
cbef9c7c791707cbd016b0a3f60ef8f38fe029318064d1a79f734dbe19c4dc0f,3670.003999
26cbb36059668feaa9e867cd352567ab96d72acf2208e06c528923ef6cd33b25,3671.024999
f5bbc34d21b4d7f0826e28becb2701bf588986c6100eb3db1617402e65950c27,3673.027999
df139c639c114041de1aa0d1488268d47076470747a037312b48ebaba7fca0f6,3675.111999
6290c4f5020ccc1ab0ab736df261076d366a95db80666d21364b9ec584570de3,3678.013999
a1c46422a81d091f232f2df06af333806f48adb8c8c222e3851fe205c6066d80,3679.957999
6b8d3f2fdd0c0e98a11705474f25478f589d5f0076c4b1f20de30ccadce46072,3682.319
8c52c95153343e30229f293bc62f5793f6ef0372f51a453f2586938a28afdc29,3684.876999
65d89755fd0f399dde2314c364da574cedb82d1ed3adbfad8bbff2851b5905e4,3689.96
144d86644c3cbd61c402e79b915c9398b733e570129a3f119b54e8e0a0cf1975,3691.669
53e86a98afffd2c8faa47ca927cd78535ae67ccae18c4d89812994b56cb4aac9,3692.565999
6f825cf5a6830f664e53e1dea88c7d54dc7f5728ff3cd7ef456c72432ebbca13,3699.997999
bf65f3a06ef2231edbbbdcdbbcb53f53c3f5249ae0f5e20b46d789f7df3d7094,3700.858999
8182c349ec0d6ad004c2412891c70319ab288680364c45feec3c1a72d9a8a281,3702.878999
a8be3d0263dbc0f029d5703cc7e64d2fbaad92732b40413430578f2f5d14afb3,3703.897
cd9484d0960465bc78ecc38d59d3e270c62cb964162678c9d7752e4649e4c248,3707.006999
51a0c2fca3b5807e7b07c612d147c3689570942e5510cd1b86ba4428619d6821,3710.300999
566302d34aef96b96cf0a30d2f844ba96557924637dee9ff2bd52915dfdf44d1,3721.695
fd7baff344ffafe4b35d0d1d007df78be19653cf52ccabdd030d7aa731f65dc7,3726.882999
d691d9afd1b4ee5eca368990a5ce10a53234fc8509bffbecb93ebd342393f70e,3729.927
22f504bfab611e7a60fc7b163857e17f539437dc6ae74d3f0896dfae57e6a6e3,3730.621999
ebe7464eb16d6d206037dd5dacd650362947da5e38133304bc44fa4c1d7cdae6,3732.782999
e45dfa7a0d4f6a78b4af7dea4d2662e57d6ee040432e255686b948b70c10469d,3733.992
9ade87bfdef089f2e4bd64d5f55ebe0c3ab144f0264721f87a25e7944e3d210d,3738.513
6601b1b170387ce33302410ed6812c36046ff7834d02f6016895cb20c182259f,3740.998999
9186e187be572291f3211347bb6abde5650daedb6854464bafa50c80378f4071,3747.988
ba6c663d8af67fc07fea4078369bce137b1e7ac86dd5ff81ee92e0442b2c2986,3749.988999
235b71b09938e04596afbdf0ca798fdeca040103e141655b1ab3f83a7169d87b,3750.003999
633826d37429b0c126e0ff89ac4ae50b4f672f185a9e66416d44a051953f9f5d,3763.152999
c558476fcf165681ae608b9776223ac83f62e5a6f4079a281e3c692186921413,3763.967
214d4bef47b3c2582d27e81d91b70234effa7d0bac6b2d56f712d829cbcc5047,3765.026
eb765708bc460f3dd8c779fbb0bc38109bd9c46d9b99e857228e7044488bbad6,3766.646999
da28c52eeba1e2cfc7a283229af8b273116af3750bde40ce6fabb4b24066590a,3767.278
68578859ed55296b58a0a928ef6c35dab6c28181dbf1bab99b10be1e21c08dda,3769.824
4939a586078bb20c84258364e3a0fd36632af912ff2bd35a4b6f35522b52884e,3773.469999
b14ca6259b4fd6e660eeaea414301863a32d4e8cc5689e99f0f38cbf70d5e0cd,3779.008
8bdada3828d98629f5096043d37d749430842b19bc2df6fa0934da8f8833b203,3789.99
b4d7d9eeefffe7d94b0eeb43ec59cbd522f824249b71943016bc838f9ddc212b,3808.204999
a602130f051dda76b3ecee7b112b1a45ac46e52060b37516a29bab0bd8dbcb92,3819.988
4061288a38bd1a6bae3831a78d6ec7bc18767558e04b1b5f453c32fed51318aa,3855.911
0517712c6cac0b85a5fe4fd7b8308f634fd36a71d456934cb2186844066b6c1b,3857.061999
75fdf8decfac3faf27f8e8e5257a4e54185051c4231c306b1f4e464a4deb9149,3858.89
b860e0b67667cd787ab10d8d9897c204fe72bd103581626b32b48c62ae1da9c6,3862.118999
5ca1f9b1907799f2c5399657ad78b73eddab5c20cce329ba600d01090540d068,3864.893
a471ec87523635e30fdd676abb74a671830f527b8ac6ff15407d57539f8ce933,3887.962
10ca477778f6d758e63cfd6db6ea9980d64630308a3d9e4cf271255a307eceb8,3888.911
6171d0a60de1fe3371a493cff6a4a6033fbc3ea99afb4b22b762010740922110,3891.127999
f0ea676a7ccb9424c4ac0860961912b7724c131832e2aee078dfd63e7da939d0,3892.064
7d2fb2f53c674153870e17257d371215e271bd4d99e478db08f65d64ab35276f,3905.032999
cb6262f92df09c01f5ba28af43c1ac5c2a4b061e6ac5fd74c7ce1baec41e9a65,3907.019
