trip_id,time_seconds
03d2bd466332879143981814aea50042a0841b17c5eb6ef04c07d3711aa994f4,143.0
065959bbd69880febaed19b49ca7cf14d540a1276fae0914791ad70441d6af1a,180.0
080a8c8e3e3f40a40000fda98d52cadd329ee645099cb1342d4b368cc9765228,200.0
08d42691a20f566e666116e678f3c56651624a768b7a43092a5245acbbc71ace,75.0
0b79425af635a20ea43eeab4074381921f4c05eb924b1c3e960d0b131f3b04fb,40.0
0c6586d14dee97165a3483a2b587ef4cd635eea6974fd644bb7b74c6afd48862,45.0
0ccad206daad838a2b6c6a6482d17d25313930af9eb8ee9cf983273f318b613f,90.0
110510c81007e8b76635ed58dfd4b3040fdf74955c73286f7194cd966b5240de,0.0
11171220e62d745bdf8b20f5db274986a00ef50f6dba2e479c750e7070328dd8,60.0
1849766d102f5ae1ae428d58c5aed0f58c81f2bc121bd3e7b750b57c4c20a551,221.0
1b52e806cf1c190197cb1ab7f151ab684f2f6cd27c3c8ba8cb8c2ed634b3c860,35.0
1dce5890604f34e893e5ff3ca95b6fda1b4972f60d02ce804547c2350e803ac1,240.0
211bee91281e31b3157d6675b9fe1616f86b7e454f8a8efd6bc507444d1aee6e,175.0
2126e634aab96cfd93b409e84c532b99547a787beb414dd9b426282828b36df0,275.0
287b24952dabdd4faa67c9966e9e24dbacb98524546978ce82795d8cba8e7c64,193.0
2a187e8be1360e74db025c75aa9dde63a8c59d93b5681d1397c9f1e520416567,290.0
2adfe673c6076af762361332afd0a3af3076b1755814cb4fbfc8043c380fec08,210.0
32873af6f5ad55163c149310282301427fbcd96c5da0c0c65b16fc31a350c21b,160.0
335850ace93bef969e78f5032956127f98b63c8ca10bfd3897b5f2937d878ead,236.0
3421ea84167930f9ec5404fe486cf5bab587390ec4a0c867a77f4372a11d1dec,295.0
39312818b968b6fb837199de0953a193eec5532e7647db36f1f53c933e6eb000,89.0
395d6e0dd50cdf94cf1de01020b746bad432eede24c7c5f2ec36d766cda7163f,165.0
3be7f00391d27b495a4825ff7fd1a60e5f92983c3fc6316a0c132892e2cca89e,110.0
42d91af7c2f713005cc8007fd370b008ab7f85d8fa03405cb679058e1491cd1b,20.0
44f0ba20bcbc73180eadd95931edbba12079ddd9cdf28d66ea68c8a3b04f66dc,222.0
460bb3e842459bbb7fad9ad152ee62c8f5d2a943a6585ea912c92d7761c826fd,279.0
467bc92362f6a71d6b1b7d7e3b7522929bc4e09e869f28db398cf54d6f5dbbb3,230.0
4914c4fbfae1f54be73b5636eadc4d65af06307c251e0a978891fa541c8b0ecc,276.0
4b0d7e1d3534cb14aa13fc213b73132efc5bd8d334c07f95bdec1976abdfa56e,129.0
4cb5da933e04e4555f98168527feb2e11d804c61712370f6b3e7fe50fd65a8a9,178.0
4efe8572ede3bbc04c4d3f2bfe139b5c654916aefcb2e0d118bacc42862e2dc7,219.0
4f7126cd8ec02c56d32bff1a445129ad5ce5a3acb0dabe2c02c70ea93359cb78,247.0
50823a5a00a35e87b45c9ad69eb5f2b334f6b8453bae7f0ba2ead5fb46a454b4,50.0
5e712c74ca75e93802c25cc844e81fd5afd555ade4daba9d5b836d8b92707250,83.0
6173f85c5399571c5665ad3e90e08c4af921dee56892f022f4fb7266c97aadd6,90.0
